"location","hits","keyword","geo","gprop"
"North Carolina",NA,"Steve Womack","US","web"
"North Dakota",NA,"Steve Womack","US","web"
"Nebraska",NA,"Steve Womack","US","web"
"New Hampshire",NA,"Steve Womack","US","web"
"New Jersey",NA,"Steve Womack","US","web"
"New Mexico",NA,"Steve Womack","US","web"
"Nevada",NA,"Steve Womack","US","web"
"New York",NA,"Steve Womack","US","web"
"Ohio",NA,"Steve Womack","US","web"
"Oklahoma",NA,"Steve Womack","US","web"
"Oregon",NA,"Steve Womack","US","web"
"Pennsylvania",NA,"Steve Womack","US","web"
"Rhode Island",NA,"Steve Womack","US","web"
"South Carolina",NA,"Steve Womack","US","web"
"South Dakota",NA,"Steve Womack","US","web"
"Tennessee",NA,"Steve Womack","US","web"
"Alabama",NA,"Steve Womack","US","web"
"Utah",NA,"Steve Womack","US","web"
"Virginia",NA,"Steve Womack","US","web"
"Vermont",NA,"Steve Womack","US","web"
"Washington",NA,"Steve Womack","US","web"
"Wisconsin",NA,"Steve Womack","US","web"
"West Virginia",NA,"Steve Womack","US","web"
"Arizona",NA,"Steve Womack","US","web"
"Arkansas",100,"Bruce Westerman","US","web"
"Alaska",NA,"Bruce Westerman","US","web"
"Wyoming",NA,"Bruce Westerman","US","web"
"Arizona",NA,"Bruce Westerman","US","web"
"California",NA,"Bruce Westerman","US","web"
"Colorado",NA,"Bruce Westerman","US","web"
"Connecticut",NA,"Bruce Westerman","US","web"
"District of Columbia",NA,"Bruce Westerman","US","web"
